,name,pp,prediction,diff,sus
1978,/76561198415880539,715.401000,935.189148,219.788148,0
1940,/76561199096865354,738.595000,957.861816,219.266816,0
1965,/76561198810394964,723.204000,942.384338,219.180338,0
1768,/76561198045668510,864.906000,1083.463379,218.557379,0
22,/2552847421429376,12537.600000,12755.748047,218.148047,0
1984,/76561199225358735,713.596000,931.007812,217.411812,0
1821,/76561197996845537,828.678000,1046.048096,217.370096,0
1970,/76561198151952450,719.252000,936.273560,217.021560,0
1977,/76561198863047108,715.418000,932.418518,217.000518,0
1935,/76561197975261893,741.880000,958.748047,216.868047,0
1948,/76561198059321463,732.893000,949.349792,216.456792,0
1670,/76561198298416438,957.020000,1173.310059,216.290059,0
1862,/76561198055710568,796.851000,1012.627258,215.776258,0
1936,/76561198069678417,741.541000,957.048279,215.507279,0
985,/76561199086211167,2299.370000,2514.487061,215.117061,0
1925,/76561198153578524,750.555000,964.337891,213.782891,0
1907,/76561198123013022,761.077000,974.837524,213.760524,0
1927,/76561197960873642,749.087000,962.791138,213.704138,0
1348,/76561198323862531,1377.540000,1591.087158,213.547158,0
1930,/76561198076524787,744.129000,957.421021,213.292021,0
1875,/76561198121397244,789.925000,1002.862671,212.937671,0
1987,/76561198103500137,711.867000,924.676697,212.809697,0
1400,/76561198045596603,1312.240000,1524.865601,212.625601,0
1937,/76561198029255110,740.136000,952.463196,212.327196,0
1979,/76561198053674056,714.887000,926.809448,211.922448,0
1939,/76561197977653309,739.678000,951.600403,211.922403,0
1835,/76561198006303598,817.611000,1029.084839,211.473839,0
1512,/76561198058500012,1153.190000,1363.586426,210.396426,0
1969,/76561197985100129,719.727000,929.955261,210.228261,0
1964,/76561198994934607,723.227000,931.961853,208.734853,0
541,/76561198152206370,4288.230000,4496.644043,208.414043,0
208,/76561199067454551,7455.570000,7663.834961,208.264961,0
1833,/76561198367898695,819.199000,1027.106812,207.907812,0
462,/76561198241453850,4736.760000,4944.520020,207.760020,0
1959,/76561198209130225,727.052000,934.726807,207.674807,0
1900,/5170298523063463,767.156000,974.659790,207.503790,0
1337,/76561197972439243,1390.300000,1597.546387,207.246387,0
1966,/76561198200539899,721.654000,927.578552,205.924552,0
920,/76561198033754640,2520.910000,2726.733643,205.823643,0
1917,/76561197970436969,754.287000,959.953735,205.666735,0
1946,/76561198123970575,733.122000,938.488220,205.366220,0
1785,/76561198035663040,853.478000,1058.789551,205.311551,0
1884,/76561198059032566,784.359000,989.630066,205.271066,0
1505,/76561198166425568,1163.380000,1368.228149,204.848149,0
1822,/76561198019652663,826.747000,1031.545898,204.798898,0
1983,/76561197995849940,714.116000,918.807678,204.691678,0
1515,/2951790541589110,1152.440000,1356.991699,204.551699,0
673,/76561198054245996,3556.240000,3760.596924,204.356924,0
1989,/76561198987619502,711.754000,915.876221,204.122221,0
1921,/76561198797574664,752.979000,956.689941,203.710941,0
1952,/76561198373269621,731.442000,934.584106,203.142106,0
1640,/76561199161798915,990.297000,1192.908325,202.611325,0
1895,/76561197960286909,771.749000,974.055969,202.306969,0
1142,/76561198840471700,1843.610000,2045.637939,202.027939,0
1958,/76561198065585475,728.785000,930.513916,201.728916,0
1944,/76561198094305056,736.878000,938.519470,201.641470,0
1825,/76561198017430956,823.859000,1024.838745,200.979745,0
357,/76561198083401969,5631.770000,5832.364258,200.594258,0
1993,/76561197997644728,709.356000,909.745239,200.389239,0
1973,/76561198066044652,716.063000,916.239624,200.176624,0
1899,/76561198106312728,767.417000,967.175049,199.758049,0
1972,/76561198007075092,716.307000,915.014526,198.707526,0
1832,/76561198400018458,819.880000,1018.016296,198.136296,0
1997,/76561198121438708,708.225000,905.963318,197.738318,0
1851,/76561198024932269,805.495000,1003.224609,197.729609,0
1913,/76561198025176150,757.608000,955.290710,197.682710,0
1614,/76561198147347381,1016.600000,1214.185913,197.585913,0
129,/76561198296836063,8908.490000,9105.863281,197.373281,0
1915,/76561198027947848,756.560000,953.902954,197.342954,0
1871,/76561198015194919,790.667000,987.789307,197.122307,0
1042,/76561198116249729,2125.360000,2322.385498,197.025498,0
1934,/76561198111889407,742.564000,939.214478,196.650478,0
1932,/76561198153843337,743.790000,939.330811,195.540811,0
1961,/76561198356875362,726.255000,921.691895,195.436895,0
1982,/1967328006720542,714.387000,909.595520,195.208520,0
1770,/76561198151342878,863.760000,1058.317749,194.557749,0
1744,/76561198396591389,889.469000,1083.729248,194.260248,0
1743,/76561198028243153,890.871000,1084.808350,193.937350,0
1797,/76561198174688751,842.547000,1036.254028,193.707028,0
1620,/76561198044629713,1012.270000,1205.705200,193.435200,0
1945,/3202393059775901,733.716000,926.883362,193.167362,0
1426,/76561198037511818,1278.940000,1471.675293,192.735293,0
1723,/76561198036597066,905.973000,1098.252319,192.279319,0
599,/76561198111321682,3963.080000,4155.184082,192.104082,0
1942,/76561198174968873,737.786000,928.467407,190.681407,0
1976,/76561198077393120,715.477000,906.102356,190.625356,0
1897,/76561198114287831,770.958000,961.533020,190.575020,0
1462,/76561198928380676,1219.790000,1409.563110,189.773110,0
1592,/76561199001902084,1042.120000,1231.881714,189.761714,0
1981,/76561198272651435,714.612000,904.023376,189.411376,0
1488,/76561198022429174,1185.770000,1374.250366,188.480366,0
1441,/76561198079720597,1252.200000,1440.582031,188.382031,0
106,/76561198141511481,9497.140000,9685.454102,188.314102,0
1508,/76561198396277859,1161.650000,1349.799072,188.149072,0
1955,/76561198954805348,730.682000,918.382507,187.700507,0
1811,/76561198150469709,834.672000,1022.170044,187.498044,0
1404,/76561198211474107,1310.260000,1497.612793,187.352793,0
1953,/76561198164082041,731.138000,917.410889,186.272889,0
